role,family,spatial_label,pdfs,mean_added_glyphs,frac_glyphs_inside,frac_glyphs_clipped,frac_glyphs_outside,frac_glyphs_below_page,realized_classes,label_contract_rate,median_changed_pixels_72dpi,oracle_token_rate
benign_confounder,existing_stream_patch,inside_page,635,183.0,0.0,0.1202,0.8798,0.8798,straddles_page_edge=635,0.0,0,1.0
benign_confounder,header_footer_like,extreme_off_page,170,184.1,0.0,0.0,1.0,0.0,off_page=170,1.0,0.0,1.0
benign_confounder,header_footer_like,inside_page,139,183.8,0.0405,0.0792,0.8803,0.8803,straddles_page_edge=139,0.0,0,1.0
benign_confounder,header_footer_like,near_margin,145,186.3,0.0399,0.0782,0.8819,0.8819,straddles_page_edge=145,1.0,0,1.0
benign_confounder,header_footer_like,negative_off_page,197,185.4,0.0,0.1187,0.8813,0.8813,straddles_page_edge=197,0.0,0,1.0
benign_confounder,in_page_invisible_text,inside_page,637,184.3,0.0,0.1194,0.8806,0.8806,straddles_page_edge=637,0.0,0,1.0
benign_confounder,in_page_low_contrast_text,inside_page,682,184.0,0.0,0.1196,0.8804,0.8804,straddles_page_edge=682,0.0,0.0,1.0
benign_confounder,in_page_split_text_objects,inside_page,462,175.8,0.0,0.1252,0.8748,0.8748,straddles_page_edge=462,0.0,0.0,1.0
benign_confounder,in_page_tiny_text,inside_page,660,185.3,0.1187,0.0,0.8813,0.8813,straddles_page_edge=660,0.0,52.0,1.0
benign_confounder,in_page_white_text,inside_page,660,184.9,0.0,0.119,0.881,0.881,straddles_page_edge=660,0.0,0.0,1.0
benign_confounder,layout_mimicry,inside_page,669,184.8,0.0,0.119,0.881,0.881,straddles_page_edge=669,0.0,0,1.0
benign_confounder,margin_microtext,near_margin,618,188.0,0.117,0.0,0.883,0.883,straddles_page_edge=618,1.0,18.0,1.0
benign_confounder,microglyph_steganography,inside_page,696,171.7,0.0058,0.0058,0.9884,0.9884,straddles_page_edge=696,0.0,0.0,1.0
benign_confounder,near_margin_normal_font,near_margin,654,188.2,0.0,0.1169,0.8831,0.8831,straddles_page_edge=654,1.0,811.0,1.0
benign_confounder,plain_single_block,extreme_off_page,183,183.2,0.0,0.0,1.0,0.0,off_page=183,1.0,0,1.0
benign_confounder,plain_single_block,inside_page,132,184.7,0.0433,0.0758,0.8809,0.8809,straddles_page_edge=132,0.0,0.0,1.0
benign_confounder,plain_single_block,near_margin,146,184.5,0.0457,0.0735,0.8808,0.8808,straddles_page_edge=146,1.0,0.0,1.0
benign_confounder,plain_single_block,negative_off_page,186,183.6,0.0,0.1198,0.8802,0.8802,straddles_page_edge=186,0.0,20.0,1.0
benign_confounder,semantic_fragmentation,inside_page,639,178.6,0.0,0.1232,0.8768,0.8768,straddles_page_edge=639,0.0,0,1.0
benign_confounder,split_text_objects,extreme_off_page,196,172.2,0.0,0.0,1.0,0.0,off_page=196,1.0,0.0,1.0
benign_confounder,split_text_objects,inside_page,152,171.8,0.0309,0.153,0.8161,0.8161,straddles_page_edge=152,0.0,0.0,1.0
benign_confounder,split_text_objects,near_margin,126,171.1,0.0231,0.1491,0.8278,0.8278,straddles_page_edge=126,1.0,0.0,1.0
benign_confounder,split_text_objects,negative_off_page,198,171.8,0.0,0.1019,0.8981,0.8981,straddles_page_edge=198,0.0,0.0,1.0
benign_confounder,steganographic_acrostic,inside_page,792,10617.2,0.0,0.0094,0.9906,0.9906,straddles_page_edge=792,0.0,2636.0,0.0
injected_attack,existing_stream_patch,inside_page,635,203.0,0.0,0.3147,0.6853,0.6853,straddles_page_edge=635,0.0,0,1.0
injected_attack,header_footer_like,extreme_off_page,170,203.5,0.0,0.0,1.0,0.0,off_page=170,1.0,0.0,1.0
injected_attack,header_footer_like,inside_page,139,203.4,0.1059,0.2081,0.6859,0.6859,straddles_page_edge=139,0.0,0,1.0
injected_attack,header_footer_like,near_margin,145,203.3,0.106,0.2072,0.6868,0.6868,straddles_page_edge=145,1.0,0,1.0
injected_attack,header_footer_like,negative_off_page,197,203.0,0.0,0.3154,0.6846,0.6835,straddles_page_edge=197,0.0,0,1.0
injected_attack,in_page_invisible_text,inside_page,637,203.8,0.0,0.3134,0.6866,0.6866,straddles_page_edge=637,0.0,0,1.0
injected_attack,in_page_low_contrast_text,inside_page,682,204.8,0.0,0.3116,0.6884,0.6884,straddles_page_edge=682,0.0,0.0,1.0
injected_attack,in_page_split_text_objects,inside_page,462,198.3,0.0,0.3227,0.6773,0.6773,straddles_page_edge=462,0.0,0.0,1.0
injected_attack,in_page_tiny_text,inside_page,660,203.5,0.3154,0.0,0.6846,0.6846,straddles_page_edge=660,0.0,110.0,1.0
injected_attack,in_page_white_text,inside_page,660,203.5,0.0,0.3143,0.6857,0.6857,straddles_page_edge=660,0.0,0.0,1.0
injected_attack,layout_mimicry,inside_page,669,201.8,0.0,0.3161,0.6839,0.6839,straddles_page_edge=669,0.0,0,1.0
injected_attack,margin_microtext,near_margin,618,203.3,0.3145,0.0,0.6855,0.6855,straddles_page_edge=618,1.0,42.0,1.0
injected_attack,microglyph_steganography,inside_page,696,192.7,0.0052,0.0052,0.9896,0.9896,straddles_page_edge=696,0.0,0.0,1.0
injected_attack,near_margin_normal_font,near_margin,654,203.7,0.0,0.3132,0.6868,0.6868,straddles_page_edge=654,1.0,1985.0,1.0
injected_attack,plain_single_block,extreme_off_page,183,202.8,0.0,0.0,1.0,0.0,off_page=183,1.0,0,1.0
injected_attack,plain_single_block,inside_page,132,204.1,0.1149,0.1996,0.6855,0.6855,straddles_page_edge=132,0.0,0.0,1.0
injected_attack,plain_single_block,near_margin,146,204.7,0.1199,0.1929,0.6872,0.6872,straddles_page_edge=146,1.0,0.0,1.0
injected_attack,plain_single_block,negative_off_page,186,204.0,0.0,0.3122,0.6878,0.6865,straddles_page_edge=186,0.0,37.0,1.0
injected_attack,semantic_fragmentation,inside_page,639,197.8,0.0,0.3225,0.6775,0.6775,straddles_page_edge=639,0.0,0,1.0
injected_attack,split_text_objects,extreme_off_page,196,195.7,0.0,0.0,1.0,0.0,off_page=196,1.0,0.0,1.0
injected_attack,split_text_objects,inside_page,152,195.9,0.0775,0.2688,0.6537,0.6537,straddles_page_edge=152,0.0,0.0,1.0
injected_attack,split_text_objects,near_margin,126,195.2,0.0573,0.2716,0.6711,0.6711,straddles_page_edge=126,1.0,0.0,1.0
injected_attack,split_text_objects,negative_off_page,198,195.3,0.0,0.261,0.739,0.7377,straddles_page_edge=198,0.0,0.0,1.0
injected_attack,steganographic_acrostic,inside_page,792,8823.7,0.0,0.0072,0.9928,0.9928,straddles_page_edge=792,0.0,2053.0,1.0
